iter	Passed	Remaining
965	13293	14229
966	13305	14213
967	13317	14198
968	13331	14184
969	13346	14172
970	13358	14156
971	13374	14144
972	13390	14133
973	13405	14121
974	13419	14107
975	13434	14094
976	13451	14085
977	13465	14070
978	13478	14056
979	13492	14042
980	13504	14027
981	13516	14012
982	13529	13997
983	13545	13985
984	13558	13971
985	13571	13957
986	13586	13944
987	13604	13935
988	13621	13924
989	13634	13909
990	13648	13896
991	13662	13883
992	13681	13874
993	13693	13858
994	13707	13845
995	13721	13831
996	13737	13820
997	13750	13805
998	13762	13789
999	13780	13780
1000	13794	13767
1001	13808	13753
1002	13820	13738
1003	13836	13726
1004	13853	13715
1005	13867	13701
1006	13879	13686
1007	13894	13673
1008	13906	13658
1009	13921	13645
1010	13935	13632
1011	13950	13620
1012	13963	13605
1013	13976	13591
1014	13990	13577
1015	14004	13563
1016	14020	13552
1017	14032	13536
1018	14047	13523
1019	14060	13509
1020	14074	13495
1021	14088	13481
1022	14102	13468
1023	14117	13455
1024	14132	13443
1025	14149	13432
1026	14163	13418
1027	14178	13406
1028	14190	13390
1029	14202	13375
1030	14218	13363
1031	14236	13353
1032	14252	13341
1033	14264	13326
1034	14278	13312
1035	14293	13300
1036	14308	13287
1037	14326	13277
1038	14338	13262
1039	14351	13247
1040	14366	13235
1041	14378	13219
1042	14391	13205
1043	14405	13191
1044	14417	13176
1045	14432	13163
1046	14444	13147
1047	14460	13135
1048	14472	13120
1049	14488	13108
1050	14504	13096
1051	14517	13082
1052	14531	13068
1053	14547	13056
1054	14562	13044
1055	14576	13030
1056	14591	13017
1057	14605	13004
1058	14617	12988
1059	14635	12978
1060	14649	12964
1061	14661	12949
1062	14673	12933
1063	14688	12921
1064	14704	12909
1065	14716	12893
1066	14732	12882
1067	14745	12867
1068	14759	12854
1069	14775	12842
1070	14791	12830
1071	14803	12815
1072	14819	12803
1073	14835	12791
1074	14851	12779
1075	14864	12765
1076	14878	12751
1077	14890	12735
1078	14906	12723
1079	14918	12708
1080	14933	12695
1081	14948	12682
1082	14960	12667
1083	14975	12654
1084	14991	12642
1085	15005	12629
1086	15020	12615
1087	15039	12606
1088	15051	12591
1089	15066	12578
1090	15080	12565
1091	15094	12551
1092	15108	12537
1093	15124	12525
1094	15139	12512
1095	15157	12501
1096	15169	12486
1097	15181	12471
1098	15198	12460
1099	15213	12447
1100	15228	12434
1101	15246	12423
1102	15262	12411
1103	15278	12400
1104	15291	12385
1105	15307	12373
1106	15319	12358
1107	15336	12346
1108	15350	12332
1109	15365	12319
1110	15377	12304
1111	15392	12291
1112	15407	12279
1113	15421	12265
1114	15438	12253
1115	15455	12242
1116	15471	12230
1117	15484	12216
1118	15501	12204
1119	15516	12191
1120	15529	12176
1121	15545	12164
1122	15563	12154
1123	15580	12142
1124	15596	12130
1125	15609	12115
1126	15622	12101
1127	15638	12088
1128	15652	12075
1129	15669	12064
1130	15686	12052
1131	15703	12041
1132	15718	12028
1133	15730	12012
1134	15742	11997
1135	15757	11984
1136	15770	11969
1137	15786	11957
1138	15799	11943
1139	15813	11929
1140	15827	11916
1141	15842	11902
1142	15860	11891
1143	15874	11877
1144	15889	11864
1145	15902	11850
1146	15916	11836
1147	15931	11823
1148	15943	11808
1149	15958	11795
1150	15973	11782
1151	15991	11771
1152	16009	11760
1153	16023	11746
1154	16037	11732
1155	16050	11718
1156	16067	11706
1157	16081	11692
1158	16097	11681
1159	16114	11669
1160	16130	11656
1161	16145	11643
1162	16157	11628
1163	16169	11613
1164	16183	11599
1165	16198	11586
1166	16210	11571
1167	16225	11557
1168	16241	11545
1169	16258	11533
1170	16274	11521
1171	16288	11507
1172	16301	11493
1173	16315	11479
1174	16331	11466
1175	16348	11455
1176	16363	11441
1177	16376	11427
1178	16389	11412
1179	16402	11398
1180	16414	11382
1181	16426	11368
1182	16442	11355
1183	16458	11342
1184	16477	11332
1185	16489	11317
1186	16503	11303
1187	16518	11290
1188	16532	11276
1189	16545	11262
1190	16560	11249
1191	16572	11234
1192	16586	11220
1193	16601	11206
1194	16616	11193
1195	16628	11178
1196	16641	11163
1197	16654	11149
1198	16672	11137
1199	16684	11123
1200	16696	11108
1201	16709	11093
1202	16725	11080
1203	16739	11066
1204	16752	11052
1205	16768	11039
1206	16784	11027
1207	16797	11013
1208	16811	10999
1209	16826	10986
1210	16842	10973
1211	16854	10958
1212	16867	10943
1213	16879	10928
1214	16892	10914
1215	16904	10898
1216	16918	10885
1217	16933	10872
1218	16947	10858
1219	16960	10843
1220	16976	10831
1221	16991	10817
1222	17003	10802
1223	17020	10790
1224	17034	10776
1225	17046	10761
1226	17059	10747
1227	17073	10733
1228	17086	10719
1229	17099	10704
1230	17112	10690
